Name,Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc
Jaylen Brown,1,1,2018-10-16,21-357,BOS,,PHI,W (+18),1,28:23,.432,.423,9.6,6.9,8.3,10.1,0.0,0.0,12.6,22.9,91,89,5.0
Jaylen Brown,2,2,2018-10-19,21-360,BOS,@,TOR,L (-12),1,24:10,.597,.650,3.7,13.2,8.1,0.0,0.0,0.0,8.4,20.1,104,119,6.2
Jaylen Brown,3,3,2018-10-20,21-361,BOS,@,NYK,W (+2),1,38:27,.339,.222,5.4,8.0,6.7,8.2,1.3,0.0,16.2,13.8,77,105,3.0
Jaylen Brown,4,4,2018-10-22,21-363,BOS,,ORL,L (-3),1,31:17,.278,.278,0.0,15.3,7.7,13.6,0.0,2.6,10.0,14.3,64,98,1.6
Jaylen Brown,5,5,2018-10-25,22-001,BOS,@,OKC,W (+6),1,23:47,.282,.125,11.9,0.0,5.9,13.0,2.0,0.0,8.6,21.1,78,100,2.7
Jaylen Brown,6,6,2018-10-27,22-003,BOS,@,DET,W (+20),1,25:15,.607,.577,0.0,7.3,3.8,6.9,1.9,3.7,11.3,30.5,104,88,10.9
Jaylen Brown,7,7,2018-10-30,22-006,BOS,,DET,W (+3),1,32:12,.504,.500,3.2,12.2,7.8,15.9,1.4,2.6,0.0,18.5,110,102,11.8
Jayson Tatum,1,1,2018-10-16,20-227,BOS,,PHI,W (+18),1,28:56,.599,.559,6.3,23.7,14.6,18.4,1.6,0.0,5.0,28.6,125,83,19.1
Jayson Tatum,2,2,2018-10-19,20-230,BOS,@,TOR,L (-12),1,36:47,.474,.438,0.0,26.1,12.0,8.1,1.3,2.3,22.9,24.3,77,111,6.0
Jayson Tatum,3,3,2018-10-20,20-231,BOS,@,NYK,W (+2),1,35:11,.680,.600,3.0,37.7,20.5,0.0,2.7,0.0,18.5,26.5,109,93,18.5
Jayson Tatum,4,4,2018-10-22,20-233,BOS,,ORL,L (-3),1,34:25,.272,.250,5.6,22.3,13.9,17.0,0.0,0.0,0.0,16.8,78,99,5.2
Jayson Tatum,5,5,2018-10-25,20-236,BOS,@,OKC,W (+6),1,34:26,.569,.472,2.7,13.7,8.2,6.4,1.4,0.0,8.7,28.8,109,96,14.9
Jayson Tatum,6,6,2018-10-27,20-238,BOS,@,DET,W (+20),1,28:19,.304,.278,0.0,9.8,5.0,14.3,0.0,3.3,0.0,15.2,79,92,3.4
Jayson Tatum,7,7,2018-10-30,20-241,BOS,,DET,W (+3),1,30:06,.515,.375,3.4,16.3,10.0,15.6,0.0,0.0,6.1,23.5,110,106,10.9
Jayson Tatum,1,1,2017-10-17,19-228,BOS,@,CLE,L (-3),1,36:32,.526,.458,10.5,17.1,13.7,13.4,0.0,0.0,7.0,17.3,115,108,11.7
Jayson Tatum,2,2,2017-10-18,19-229,BOS,,MIL,L (-8),1,36:32,.435,.429,5.3,24.2,13.4,7.5,1.3,0.0,17.9,13.1,87,113,5.8
Jayson Tatum,3,3,2017-10-20,19-231,BOS,@,PHI,W (+10),1,32:45,.627,.375,6.2,16.0,11.5,0.0,0.0,7.3,20.1,18.7,113,90,11.7
Jayson Tatum,4,4,2017-10-24,19-235,BOS,,NYK,W (+21),1,31:08,.733,.733,4.2,9.8,7.3,13.3,6.5,4.2,16.7,28.1,112,85,18.9
Jayson Tatum,5,5,2017-10-26,19-237,BOS,@,MIL,W (+7),1,27:49,.732,.583,0.0,8.4,4.2,18.6,1.8,0.0,19.6,17.1,125,95,10.3
Jayson Tatum,6,6,2017-10-28,19-239,BOS,@,MIA,W (+6),1,31:28,.828,.778,6.8,12.7,9.4,0.0,0.0,0.0,0.0,17.6,174,103,17.6
Jayson Tatum,7,7,2017-10-30,19-241,BOS,,SAS,W (+14),1,35:18,.444,.429,0.0,29.3,15.9,6.9,0.0,6.7,20.2,12.4,86,98,6.1
Jayson Tatum,8,8,2017-11-01,19-243,BOS,,SAC,W (+27),1,26:25,.685,.643,5.2,12.7,9.3,11.1,0.0,0.0,18.6,18.4,127,103,8.9
Jayson Tatum,9,9,2017-11-03,19-245,BOS,@,OKC,W (+7),1,29:48,.553,.500,6.7,13.1,10.0,16.3,0.0,0.0,25.4,24.3,94,107,7.5
Jayson Tatum,10,10,2017-11-05,19-247,BOS,@,ORL,W (+16),1,27:19,.732,.750,0.0,12.8,7.1,17.4,1.8,0.0,0.0,14.1,149,91,11.7
Jayson Tatum,11,11,2017-11-06,19-248,BOS,@,ATL,W (+3),1,32:27,.711,.654,0.0,29.6,15.2,5.2,1.5,5.4,0.0,21.1,141,104,19.8
Jayson Tatum,12,12,2017-11-08,19-250,BOS,,LAL,W (+11),1,9:21,.753,.500,0.0,11.7,5.3,15.6,5.0,8.4,23.1,17.8,127,84,5.3
Jayson Tatum,13,13,2017-11-10,19-252,BOS,,CHO,W (+3),1,30:44,.581,.542,0.0,6.6,3.3,7.6,0.0,0.0,12.7,22.8,102,95,7.3
Jayson Tatum,14,14,2017-11-12,19-254,BOS,,TOR,W (+1),1,32:59,.433,.433,3.2,23.6,12.4,0.0,0.0,0.0,11.8,22.6,82,109,4.2
Jayson Tatum,15,15,2017-11-14,19-256,BOS,@,BRK,W (+7),1,30:17,.816,.778,3.7,9.7,6.9,0.0,4.8,3.0,7.9,17.9,154,96,18.6
Jayson Tatum,16,16,2017-11-16,19-258,BOS,,GSW,W (+4),1,27:04,.670,.400,3.8,10.2,7.2,0.0,1.8,0.0,10.0,16.0,130,91,9.3
Jayson Tatum,17,17,2017-11-18,19-260,BOS,@,ATL,W (+11),1,28:47,.568,.500,0.0,30.7,15.4,0.0,7.2,6.2,7.5,21.0,109,89,13.6
Jayson Tatum,18,18,2017-11-20,19-262,BOS,@,DAL,W (+8),1,37:49,.588,.545,0.0,22.5,12.9,4.7,1.3,2.2,7.3,17.2,108,95,12.2
Jayson Tatum,19,19,2017-11-22,19-264,BOS,@,MIA,L (-6),1,34:05,.682,.591,2.9,22.8,11.6,20.1,1.5,2.7,7.0,18.7,136,108,17.9
Jayson Tatum,20,20,2017-11-24,19-266,BOS,,ORL,W (+15),1,21:54,.786,.786,4.6,4.5,4.5,0.0,2.3,6.2,0.0,13.9,155,108,10.7
Jayson Tatum,21,21,2017-11-25,19-267,BOS,@,IND,W (+10),1,37:38,.486,.450,0.0,7.1,3.9,0.0,0.0,0.0,8.1,16.0,89,115,3.6
Jayson Tatum,22,22,2017-11-27,19-269,BOS,,DET,L (-10),1,34:44,.635,.571,3.7,7.1,5.5,15.4,0.0,2.3,11.3,11.9,131,126,8.1
Jayson Tatum,23,23,2017-11-30,19-272,BOS,,PHI,W (+11),1,27:52,.609,.636,0.0,7.2,4.1,11.6,3.6,0.0,0.0,20.4,124,102,12.5
Jayson Tatum,24,24,2017-12-02,19-274,BOS,,PHO,W (+5),1,26:30,.845,.813,5.2,21.1,13.9,11.6,3.9,4.7,10.1,18.1,150,109,17.0
Jayson Tatum,25,25,2017-12-04,19-276,BOS,,MIL,W (+11),1,32:35,1.095,1.167,0.0,22.1,12.1,0.0,0.0,0.0,11.4,12.9,177,112,14.8
Jayson Tatum,26,26,2017-12-06,19-278,BOS,,DAL,W (+7),1,32:49,.623,.545,3.0,26.3,14.9,0.0,1.5,0.0,0.0,18.9,128,96,14.5
Jayson Tatum,27,27,2017-12-08,19-280,BOS,@,SAS,L (-3),1,35:54,.733,.636,0.0,25.5,12.6,0.0,3.0,0.0,0.0,17.5,157,111,19.1
Jayson Tatum,28,28,2017-12-10,19-282,BOS,@,DET,W (+10),1,29:49,.786,.786,0.0,12.4,6.7,0.0,0.0,3.2,12.5,12.9,128,95,8.2
Jayson Tatum,29,29,2017-12-11,19-283,BOS,@,CHI,L (-23),1,29:05,.228,.143,3.5,33.0,17.9,5.3,1.8,3.2,0.0,13.9,64,110,3.3
Jayson Tatum,30,30,2017-12-13,19-285,BOS,,DEN,W (+6),1,27:55,.727,.722,0.0,15.0,8.8,9.4,0.0,2.7,8.8,19.0,131,126,12.6
Jayson Tatum,31,31,2017-12-15,19-287,BOS,,UTA,L (-12),1,26:00,.451,.250,0.0,19.4,8.6,11.1,0.0,0.0,11.4,15.8,88,117,3.2
Jayson Tatum,32,32,2017-12-16,19-288,BOS,@,MEM,W (+9),1,34:00,.663,.615,20.2,14.9,17.6,4.8,3.3,6.3,0.0,19.8,158,102,21.8
Jayson Tatum,33,33,2017-12-18,19-290,BOS,@,IND,W (+1),1,30:52,.858,.813,0.0,19.0,10.2,17.9,1.6,2.7,17.7,16.9,147,112,15.6
Jayson Tatum,34,34,2017-12-20,19-292,BOS,,MIA,L (-1),1,28:06,.511,.444,0.0,26.6,13.3,14.7,0.0,3.6,8.5,20.2,99,98,8.3
Jayson Tatum,35,35,2017-12-21,19-293,BOS,@,NYK,L (-9),1,34:06,.723,.700,3.0,7.6,5.0,0.0,3.0,0.0,20.3,19.9,111,111,11.9
Jayson Tatum,36,36,2017-12-23,19-295,BOS,,CHI,W (+25),1,32:45,.500,.500,0.0,20.5,10.6,20.8,1.5,0.0,0.0,17.9,113,95,12.1
Jayson Tatum,37,37,2017-12-25,19-297,BOS,,WAS,L (-8),1,36:09,.859,.889,0.0,7.8,4.3,0.0,0.0,0.0,25.6,19.9,117,119,11.4
Jayson Tatum,38,38,2017-12-27,19-299,BOS,@,CHO,W (+11),1,35:13,.615,.500,0.0,12.2,7.2,0.0,3.0,4.3,12.0,23.0,109,95,13.7
Jayson Tatum,39,39,2017-12-28,19-300,BOS,,HOU,W (+1),1,39:54,.600,.455,0.0,14.7,6.9,3.9,2.5,3.3,0.0,17.6,131,100,17.4
Jayson Tatum,40,40,2017-12-31,19-303,BOS,,BRK,W (+3),1,32:43,.467,.357,0.0,11.1,6.2,0.0,0.0,0.0,29.3,18.7,67,113,0.1
Jayson Tatum,41,41,2018-01-03,19-306,BOS,,CLE,W (+14),1,30:00,.504,.464,0.0,15.4,8.0,10.2,0.0,0.0,0.0,21.3,107,94,10.1
Jayson Tatum,42,42,2018-01-05,19-308,BOS,,MIN,W (+7),1,30:34,.286,.286,3.1,6.5,4.8,4.5,1.8,0.0,0.0,10.0,80,97,2.5
Jayson Tatum,43,43,2018-01-06,19-309,BOS,@,BRK,W (+2),1,32:20,.467,.467,5.4,13.5,9.0,0.0,4.6,14.8,6.3,21.9,96,79,13.9
Jayson Tatum,44,44,2018-01-11,19-314,BOS,@,PHI,W (+11),1,24:22,.576,.577,4.4,15.6,9.5,13.5,0.0,0.0,6.7,25.4,116,105,10.1
Jayson Tatum,45,45,2018-01-16,19-319,BOS,,NOP,L (-3),1,26:49,.727,.667,0.0,18.3,9.1,11.6,0.0,2.7,30.4,15.5,101,105,7.2
Jayson Tatum,46,46,2018-01-18,19-321,BOS,,PHI,L (-9),1,36:45,.431,.409,0.0,14.5,7.3,0.0,2.8,4.7,13.6,19.2,73,90,5.5
Jayson Tatum,47,47,2018-01-21,19-324,BOS,,ORL,L (-8),1,30:45,.409,.409,11.1,23.8,17.7,5.1,1.7,2.2,15.4,19.1,85,107,6.7
Jayson Tatum,48,48,2018-01-23,19-326,BOS,@,LAL,L (-1),1,30:34,.291,.250,0.0,16.0,8.4,0.0,0.0,0.0,30.4,14.7,41,111,-3.3
Jayson Tatum,49,49,2018-01-24,19-327,BOS,@,LAC,W (+11),1,33:30,.533,.500,3.6,15.2,9.9,14.8,1.4,0.0,5.6,22.1,113,102,13.1
